# Zenith RA (deg), Zenith Dec (deg), Time (Julian Date)
261.10571,38.44951,2460181.52250
341.71691,38.30665,2460189.72417
140.22391,38.53108,2460198.14167
16.76039,38.30499,2460206.77500
331.26289,38.31411,2460215.62417
3.54007,38.29809,2460224.68917
113.70230,38.48454,2460233.97000
302.04851,38.35891,2460243.46667
208.08618,38.54874,2460253.17917
192.04265,38.56251,2460263.10750
215.30881,38.54070,2460036.79167
293.26537,38.38790,2460037.00750
88.89526,38.42611,2460037.43917
322.80059,38.33504,2460038.08667
274.48504,38.42874,2460038.95000
304.03549,38.36646,2460040.02917
51.35154,38.35009,2460041.32417
236.89294,38.50730,2460042.83500
140.04549,38.52792,2460044.56167
121.24100,38.49536,2460046.50417
180.45045,38.56061,2460048.66250
317.56950,38.34297,2460051.03667
172.42967,38.55855,2460053.62667
105.21864,38.46226,2460056.43250
116.00238,38.48489,2460059.45417
204.81955,38.55001,2460062.69167
11.37542,38.30835,2460066.14500
255.99743,38.46778,2460069.81417
218.38936,38.53446,2460073.69917
258.76931,38.46133,2460077.80000
16.90696,38.31115,2460082.11667
213.14610,38.54009,2460086.64917
127.09814,38.50621,2460091.39750
119.08446,38.49129,2460096.36167
189.08765,38.55715,2460101.54167
336.93355,38.31709,2460106.93750
202.65985,38.54913,2460112.54917
146.21395,38.53588,2460118.37667
167.80385,38.55487,2460124.42000
267.38996,38.43834,2460130.67917
84.57962,38.41869,2460137.15417
340.00206,38.31177,2460143.84500
313.24706,38.34378,2460150.75167
4.28766,38.30328,2460157.87417
133.26068,38.51878,2460165.21250
340.30586,38.30905,2460172.76667
265.23448,38.44030,2460180.53667
268.00652,38.43388,2460188.52250
348.60422,38.30216,2460196.72417
147.13310,38.54061,2460205.14167
23.64783,38.31003,2460213.77500
338.15093,38.30702,2460222.62417
10.42690,38.29974,2460231.68917
120.60700,38.49897,2460240.97000
308.94070,38.34581,2460250.46667
214.99643,38.54085,2460260.17917
198.95427,38.55886,2460270.10750
222.21776,38.53113,2460043.79167
300.15924,38.37392,2460044.00750
95.79486,38.44155,2460044.43917
329.68974,38.32616,2460045.08667
281.38277,38.41327,2460045.95000
310.92744,38.35390,2460047.02917
58.24355,38.36250,2460048.32417
243.79850,38.49396,2460049.83500
146.95447,38.53729,2460051.56167
128.14706,38.50810,2460053.50417
187.36199,38.55970,2460055.66250
324.45932,38.33290,2460058.03667
179.34126,38.55987,2460060.62667
112.12161,38.47693,2460063.43250
122.90749,38.49835,2460066.45417
211.72973,38.54276,2460069.69167
18.26276,38.31190,2460073.14500
262.89921,38.45245,2460076.81417
225.29789,38.52424,2460080.69917
265.67042,38.44579,2460084.80000
23.79463,38.31604,2460089.11667
220.05538,38.53095,2460093.64917
134.00525,38.51802,2460098.39750
125.99010,38.50443,2460103.36167
195.99896,38.55390,2460108.54167
343.82133,38.31132,2460113.93750
209.57033,38.54244,2460119.54917
153.12377,38.54379,2460125.37667
174.71530,38.55746,2460131.42000
274.28931,38.42257,2460137.67917
91.47817,38.43410,2460144.15417
346.88966,38.30686,2460150.84500
320.13760,38.33256,2460157.75167
11.17470,38.30492,2460164.87417
140.16880,38.52968,2460172.21250
347.19334,38.30426,2460179.76667
272.13442,38.42455,2460187.53667
274.90579,38.41801,2460195.52250
355.49126,38.29961,2460203.72417
154.04320,38.54872,2460212.14167
30.53580,38.31698,2460220.77500
345.03847,38.30172,2460229.62417
17.31385,38.30325,2460238.68917
127.51310,38.51245,2460247.97000
315.83175,38.33397,2460257.46667
221.90594,38.53144,2460267.17917
205.86549,38.55328,2460277.10750
229.12577,38.52026,2460050.79167
307.05195,38.36080,2460051.00750
102.69586,38.45675,2460051.43917
336.57825,38.31882,2460052.08667
288.27909,38.39822,2460052.95000
317.81830,38.34260,2460054.02917
65.13686,38.37589,2460055.32417
250.70264,38.47967,2460056.83500
153.86438,38.54509,2460058.56167
135.05436,38.51983,2460060.50417
194.27343,38.55702,2460062.66250
331.34838,38.32429,2460065.03667
186.25280,38.55926,2460067.62667
119.02601,38.49088,2460070.43250
129.81388,38.51092,2460073.45417
218.63923,38.53398,2460076.69167
25.15061,38.31714,2460080.14500
269.79943,38.43681,2460083.81417
232.20549,38.51257,2460087.69917
272.57015,38.43011,2460091.80000
30.68295,38.32269,2460096.11667
226.96379,38.52025,2460100.64917
140.91337,38.52861,2460105.39750
132.89701,38.51641,2460110.36167
202.91002,38.54885,2460115.54167
350.70878,38.30735,2460120.93750
216.48012,38.53398,2460126.54917
160.03424,38.55016,2460132.37667
181.62695,38.55806,2460138.42000
281.18728,38.40685,2460144.67917
98.37824,38.44947,2460151.15417
353.77685,38.30365,2460157.84500
327.02712,38.32288,2460164.75167
18.06195,38.30834,2460171.87417
147.07795,38.53910,2460179.21250
354.08048,38.30118,2460186.76667
279.03276,38.40874,2460194.53667
281.80359,38.40237,2460202.52250
2.37803,38.29893,2460210.72417
160.95397,38.55508,2460219.14167
37.42449,38.32551,2460227.77500
351.92545,38.29828,2460236.62417
24.20127,38.30864,2460245.68917
134.42041,38.52488,2460254.97000
322.72162,38.32342,2460264.46667
228.81434,38.52052,2460274.17917
212.77603,38.54604,2460284.10750
236.03265,38.50799,2460057.79167
313.94336,38.34872,2460058.00750
109.59837,38.47164,2460058.43917
343.46604,38.31314,2460059.08667
295.17399,38.38356,2460059.95000
324.70813,38.33251,2460061.02917
72.03142,38.39009,2460062.32417
257.60550,38.46476,2460063.83500
160.77490,38.55122,2460065.56167
141.96268,38.53014,2460067.50417
201.18446,38.55241,2460069.66250
338.23662,38.31728,2460072.03667
193.16430,38.55683,2460074.62667
125.93163,38.50401,2460077.43250
136.72136,38.52223,2460080.45417
225.54773,38.52361,2460083.69167
32.03896,38.32414,2460087.14500
276.69828,38.42111,2460090.81417
239.11188,38.49978,2460094.69917
279.46834,38.41441,2460098.80000
37.57190,38.33090,2460103.11667
233.87108,38.50835,2460107.64917
147.82255,38.53774,2460112.39750
139.80501,38.52724,2460117.36167
209.82044,38.54204,2460122.54167
357.59585,38.30521,2460127.93750
223.38906,38.52413,2460133.54917
166.94534,38.55470,2460139.37667
188.53861,38.55689,2460145.42000
288.08369,38.39151,2460151.67917
105.27972,38.46470,2460158.15417
0.66384,38.30242,2460164.84500
333.91583,38.31466,2460171.75167
24.94965,38.31368,2460178.87417
153.98794,38.54710,2460186.21250
0.96734,38.30011,2460193.76667
285.92970,38.39327,2460201.53667
288.69987,38.38698,2460209.52250
9.26489,38.30017,2460217.72417
167.86534,38.55979,2460226.14167
44.31405,38.33574,2460234.77500
358.81227,38.29670,2460243.62417
31.08917,38.31579,2460252.68917
141.32891,38.53597,2460261.97000
329.61062,38.31442,2460271.46667
235.72173,38.50835,2460281.17917
219.68581,38.53706,2460291.10750
242.93835,38.49472,2460064.79167
320.83380,38.33790,2460065.00750
116.50222,38.48586,2460065.43917
350.35349,38.30922,2460066.08667
302.06759,38.36974,2460066.95000
331.59714,38.32400,2460068.02917
78.92744,38.40487,2460069.32417
264.50684,38.44934,2460070.83500
167.68600,38.55557,2460072.56167
148.87197,38.53911,2460074.50417
208.09504,38.54614,2460076.66250
345.12440,38.31192,2460079.03667
200.07537,38.55253,2460081.62667
132.83854,38.51602,2460084.43250
143.62995,38.53230,2460087.45417
